SAP_Table,BQ_Table,SAP_Field,Key_Field,SAP_Type,Length,Type_Kind,Ext_Element,Temp_Field,Values,Ext_Field_Name,Field_Description
acdoca,universal_journal_item,RCLNT,X,CLNT,3,C,STRING,client,,client,Client
acdoca,universal_journal_item,RLDNR,X,CHAR,2,C,STRING,ledger,,ledger,Ledger in General Ledger Accounting
acdoca,universal_journal_item,RBUKRS,X,CHAR,4,C,STRING,company_code,,company_code,Company Code
acdoca,universal_journal_item,GJAHR,X,NUMC,4,N,STRING,fiscal_year,@GO@,fiscal_year,Fiscal Year
acdoca,universal_journal_item,BELNR,X,CHAR,10,C,STRING,document_number,@GO@,document_number,Accounting Document Number
acdoca,universal_journal_item,DOCLN,X,CHAR,6,C,STRING,line_item,@GO@,line_item,Six-Character Posting Item for Ledger
acdoca,universal_journal_item,RYEAR,,NUMC,4,N,STRING,g_l_fiscal_year,,g_l_fiscal_year,General Ledger Fiscal Year
acdoca,universal_journal_item,DOCNR_LD,,CHAR,10,C,STRING,ledger_spec_docno,,ledger_spec_docno,Ledger specific Accounting Document Number
acdoca,universal_journal_item,RRCTY,,CHAR,1,C,STRING,record_type,,record_type,Record Type
acdoca,universal_journal_item,RMVCT,,CHAR,3,C,STRING,transactn_type,,transactn_type,Transaction type
acdoca,universal_journal_item,VORGN,,CHAR,4,C,STRING,activity_type,@GO@,activity_type,Transaction Type for General Ledger
acdoca,universal_journal_item,VRGNG,,CHAR,4,C,STRING,bus_transaction,,bus_transaction,CO Business Transaction
acdoca,universal_journal_item,BTTYPE,,CHAR,4,C,STRING,bustrans_type,,bustrans_type,Business Transaction Type
acdoca,universal_journal_item,AWTYP,,CHAR,5,C,STRING,ref_procedure,@GO@,ref_procedure,Reference procedure
acdoca,universal_journal_item,AWSYS,,CHAR,10,C,STRING,logical_system,@GO@,logical_system,Logical system of source document
acdoca,universal_journal_item,AWORG,,CHAR,10,C,STRING,refer_org_unit,,refer_org_unit,Reference Organizational Units
acdoca,universal_journal_item,AWREF,,CHAR,10,C,STRING,reference_doc,,reference_doc,Reference document number
acdoca,universal_journal_item,AWITEM,,NUMC,6,N,STRING,ref_doc_item,,ref_doc_item,Reference Document Line Item
acdoca,universal_journal_item,AWITGRP,,NUMC,6,N,STRING,ref_item_group,,ref_item_group,Group of Reference Document Line Items
acdoca,universal_journal_item,SUBTA,,NUMC,6,N,STRING,sub_transaction,,sub_transaction,Partial Document to be balanced to zero
acdoca,universal_journal_item,XREVERSING,,CHAR,1,C,STRING,is_reversing,,is_reversing,Indicator: Item is reversing another item
acdoca,universal_journal_item,XREVERSED,,CHAR,1,C,STRING,is_reversed,,is_reversed,Indicator: Item is reversed
acdoca,universal_journal_item,XTRUEREV,,CHAR,1,C,STRING,is_true_reversal,,is_true_reversal,Indicator: True reversal (i.e. cancellation)
acdoca,universal_journal_item,AWTYP_REV,,CHAR,5,C,STRING,reversereftrans,,reversereftrans,Reversal: Reference Transaction of Document To Be Reversed
acdoca,universal_journal_item,AWORG_REV,,CHAR,10,C,STRING,reversal_org,,reversal_org,Reversal: Reverse Document Reference Organization
acdoca,universal_journal_item,AWREF_REV,,CHAR,10,C,STRING,reversal_ref,,reversal_ref,Reversal: Reverse Document Reference Document Number
acdoca,universal_journal_item,SUBTA_REV,,NUMC,6,N,STRING,reversal_sub_trans,,reversal_sub_trans,Reversal: Partial Document to be balanced to zero
acdoca,universal_journal_item,XSETTLING,,CHAR,1,C,STRING,is_settling,,is_settling,Indicator: Item is settling or transferring another item
acdoca,universal_journal_item,XSETTLED,,CHAR,1,C,STRING,is_settled,,is_settled,Indicator: Line item is settled or transferred
acdoca,universal_journal_item,PREC_AWTYP,,CHAR,5,C,STRING,precreftransact,,precreftransact,Preceding Document Reference Transaction
acdoca,universal_journal_item,PREC_AWSYS,,CHAR,10,C,STRING,precreflogsys,,precreflogsys,Logical System of Preceding Reference Document
acdoca,universal_journal_item,PREC_AWORG,,CHAR,10,C,STRING,precreforgunit,,precreforgunit,Preceding Document Reference Organizational Units
acdoca,universal_journal_item,PREC_AWREF,,CHAR,10,C,STRING,precrefdocument,,precrefdocument,Preceding Document Reference Document Number
acdoca,universal_journal_item,PREC_AWITEM,,NUMC,6,N,STRING,prec_ref_doc_item,,prec_ref_doc_item,Preceding Reference Document Line Item
acdoca,universal_journal_item,PREC_SUBTA,,NUMC,6,N,STRING,prec_sub_transactn,,prec_sub_transactn,Preceding Partial Document to be balanced to zero
acdoca,universal_journal_item,PREC_AWMULT,,RAW,16,X,STRING,multprecrefid,,multprecrefid,ID of multiple Preceding Document References
